tweet_text_cleaned,user_description_cleaned,source,original_tid,u_id,label,is_synthetic,model
"A vibrant and fine pair of parcel gilt opaline glass vases by Baccarat, 19th Century, 50cm high… {{URL}}","Prestigious London gallery in the heart of Mayfair, dealing in a diverse range of 19th century antiques and artworks.",follower_35,t_632220477294051329,227,0,0,original
Followers of the way: The Buddha placed great empha�sis on personal experience and understanding.,the way of inner peace thanks to Buddishm,following_45,t_670977636219293696,880,0,0,original
several panels in Porsche 911 seats re-covered in black leather to match existing colour. {{URL}},"Eastbourne Upholstery Service. Car Seats repaired or recovered, Classic, Vintage or modern cars, Domestic Upholstery, Boats Vans, motor bike seats etc.",follower_55,t_524151821062115328,265,0,0,original
"Sunrise at Stonehenge today (12th June) was at 04.51am, sunset is at 09.22pm {{URL}}",Stonehenge Stone Circle UK. Wiltshire's historical centrepiece! All the latest Stonehenge news and daily megalithic updates. #Archaeology #StoneCircle,follower_109,t_1271324497665089538,209,0,0,original
I LOVE IT! {{MENTION}}_hall 1920s Antique Dress / 20s Ivory Ribbon by wildfellhallvintage {{URL}},Looking for great vintage clothing for your store? {{URL}} is the perfect place! Wholesale treasures at amazing prices. Increase your profit!,follower_71,t_159015803688202240,118,0,0,original
"RT {{MENTION}}: ...all while you blow hards collect a tax payer funded paycheck... ...So little Gabriel, you can tweet all the stupid lies…","Business Owner...30 years. Wife, Mother, Daughter, Aunt, proud Grandmother(Kimi) and Proud American!",following_6,t_1350818226104627203,533,0,0,original
This antique French clock set would make a beautiful gift for those with refined tastes. {{URL}} {{URL}},"Prestigious London gallery in the heart of Mayfair, dealing in a diverse range of 19th century antiques and artworks.",follower_35,t_896023591959056385,227,0,0,original
"Boy versus Goose....the goose would win, guarantee it 😉 large brass statue with lovely character..new stock available now. #newstock #forsale {{URL}}",Dealers in decorative antiques and owners of Squire Motorcycles trade enquiries welcome - contact us on 07468528186 {{MENTION}} #stagandsquire,follower_56,t_1221097498925813760,1050,0,0,original
RT {{MENTION}}: Many thanks to all our customers & Friends {{MENTION}} Malvern flea Market it was great to see you all again #fleamarket,"B2B Events runs Antiques, Vintage, Collectors & Flea Fairs in Malvern, Edinburgh, Detling and Birmingham. Making Time for History.",follower_113,t_902266157142499329,356,0,0,original
RT {{MENTION}}: Tobacco Smoking Pipe 125mm/4.9&quot; {{URL}} via {{MENTION}} #Etsymntt {{URL}},Young professional who opened an etsy shop in hopes of raising enough money to adopt a child.,follower_53,t_529928711303606272,531,0,0,original
"RT {{MENTION}}: Check out SOLID WOOD JEWELRY BOX - Art Deco Styling, 4 Drawers w/Brass Knobs, Ivory Lining {{URL}} via …",seller of vintage clothing...High fashion ... housewares ...collectables ...art ...rare pieces ....,follower_52,t_648992112206344192,48,0,0,original
Internet Marketing Tips You Need To Read Now {{URL}},From trending post to viral video we make it happen. Go viral with our game changing #socialmediamarketing services. #smmpanel #socialmedia #allmarketingtrends,following_29,t_1198562558761787392,138,0,0,original
Buddha carving from ivory mammoth {{URL}},,seed_r1,t_777313617536360448,1076,1,0,original
That’s one way to take care of it!🤣 {{URL}},"Insurance Agent, Genealogy Enthusiast,Nona to 3 and a half, American Heart Association activist!",follower_77,t_1234957290911957009,286,0,0,original
RT {{MENTION}}: So thankful for {{MENTION}} & HGTV Design Star {{MENTION}} this weekend at the #KCHomeShow. You girls are the best! http:…,"Interior designer HGTV Design Star Winner (S3) Speaker, Design Consultant & Artist I Love Me Some Art, Design, Drawing, Painting, Being a Wife & Winston's Mom",follower_53,t_580309180998795265,162,0,0,original
{{MENTION}} They are going fast and the most popular! The ivory and black are limited edition. There are only 18 left. Interested?,Earth-minded products for your urban lifestyle: We make stylish upcycled bags & accessories from sails & materials destined for landfill. #Upcycle,follower_23,t_226542148198223872,105,0,0,original
RT {{MENTION}}_Editorial: Tories pledge total ban on trade in ivory - conservative spokesman confirms manifesto commitment to ATG: {{URL}},"MD, valuer and auctioneer {{MENTION}} and all round art lover",follower_52,t_593462853912436737,120,0,0,original
"RT {{MENTION}}: “So, the question arises, does the *way* we are born in modern times have an influence? Specifically, does our high tech p…","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1544428183151263744,169,0,0,original
{{MENTION}} {{MENTION}} {{MENTION}}_musgrave I bet most of those eating disorders are over eating not anorexia.,"Venice 1868. It’s 4.00 am and a woman limps through a foggy Piazza San Marco, a newborn child in her arms. Veronica Angela, my debut novel in progress.",follower_34,t_1522299843183616001,645,0,0,original
{{MENTION}} yes yes my favourite cd :),The official Twitter for Multigenre DJ & Music Producer Darbo // Brian Thomas ❤️ {{URL}} / {{URL}} / {{URL}},following_29,t_386959140360556544,567,0,0,original
"Victoria Lucas: The Search Sat 7 Aug, 10am-4pm Free performance, exhibition ticket required. Exhibition tickets are priced at £12 / £10. FREE for Members, Wakefield District residents and under 16s. {{URL}}","Gallery, shop & café open Wed-Sun, 10am-4pm. Closed Mon-Tue. Barbara Hepworth: Art & Life £12/£10/free for Members, Wakefield residents. Garden open daily, free",following_3,t_1411986145857224705,501,0,0,original
"RT {{MENTION}}: Fowey RNLI Lifeboat Open Day Weds 5th June, Thurs 6th June and Sat 8th June 11.00 - 3.00pm at Berrills Yard pontoon (Op…","We sell vintage & new industrial and maritime lighting, and maritime collectibles. Shop online or come see us at 14 Lostwithiel Street, Fowey, Cornwall.",follower_66,t_1136333046687379475,391,0,0,original
RT {{MENTION}}: The 30 Best Young Adult Books of All Time {{URL}} via {{MENTION}} #youngadults #teens #fiction #readi…,,follower_46,t_861638235948273664,641,0,0,original
RT {{MENTION}}_v: Some drop top action in our auction 15th July. {{URL}},One of the West Country’s favourite Auctioneers. Regular specialist auctions. Professional valuations for Inheritance Tax & Insurance. Stars of TV too!,follower_71,t_1402993899480571907,745,0,0,original
RT {{MENTION}}: 2002 Demag AC50/1 {{MENTION}} {{MENTION}} {{MENTION}} {{URL}},"Auctioneers, valuers, land estate agents and chartered surveyors",follower_69,t_653509948819812352,1008,0,0,original
"{{MENTION}} Hi Abigail. Sadly over the past week weeks, separate isolated incidents have sadly had an affect on certain services. Our supervisor team are aware, and are doing all they can to attempt to reduce delays. I offer my greatest apologies Abigail. ^OM",Salisbury‘s award-winning local bus service. Support Monday to Friday 8am to 6:30pm. Part of {{MENTION}}.,follower_3,t_1181855031311523840,990,0,0,original
Everyone loves an Elephant but USA come on show some common sense banning imports of antique ivory is not going to help. #ridiculous.,"Christopher Clarke Antiques specialise in military campaign furniture and travel related items. Based in Stow on the Wold, The Costwolds. UK",follower_68,t_438236989541060608,70,0,0,original
Preparing the photoshoot for our Mammoth ivory carvings!,"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands",seed_r1,t_9283182376,5,0,0,original
"A pair of #ivory africans sculptures, #France 70s
#vintage #modern #vintageshop #deco #decoration #ElRastro #Madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{URL}}","EL TRANSFORMISTA, founded in 1991, it´s specializes in #decorativearts from the period of #30s until #70s, #antiques and unique objects",seed_r1,t_1146388306814484480,869,1,0,original
Page 55 of Tory Manifesto - Complete ban on selling Ivory! Would that make your Steinway piano worthless? #breathtaking {{MENTION}}_Editorial,"Associate Director, Head of Modern British & Post-War Art and Design in the South of England for Lyon & Turnbull, and Museum Trustee",follower_16,t_591616049759592448,51,0,0,original
Combining antiquing with a fall color trip is a good thing! #antiques #fallcolor #rochestermi… {{URL}},"Our services include selling quality 18th, 19th Century Antiques, we do Appraisals, and have a Clock & Watch Repair Department.",follower_51,t_781882653586890752,712,0,0,original
{{MENTION}} {{MENTION}} {{MENTION}} Brookings Institute study applies economic theory 2 ivory poaching issue. {{URL}},"Opposing CT hb5578, MA h1275, RI2796 which ban antique ivory. Save elephants without violating property rights, gun rights, art, history and culture.",follower_119,t_725506927141261312,2,0,0,original
RT {{MENTION}}_LLM: {{MENTION}}_LLM {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}}_kittykat13 {{MENTION}}_goldman…,,follower_66,t_1401561272357855246,731,0,0,original
RT {{MENTION}}: New York-based food writer {{MENTION}} gives his account on the rising of the at-home pizzaiolo. Now thanks to advanced techno…,Updates Editor {{MENTION}}. Psychologist. New Yorker. Chaotic Good alignment. Opinions are my own.,following_30,t_1430273642563260417,527,0,0,original
RT {{MENTION}}: Oooooooh Baby! This would only look better with you and a group of your closest friends. Our Private Dining Room is ente…,Helping to showcase • support • create awareness of businesses & entrepreneurs in #EastSussex + #WestSussex via Retweets 🌟 #Sussex #SouthEast #SussexBusiness,follower_21,t_1524787557875298305,448,0,0,original
{{MENTION}} imperial but what is the point of constantly going backwards as the tories seem to do. Most countries are forward looking.,,follower_91,t_1439515515869880321,741,0,0,original
It’s time to revisit your favorites folder: The Fall #Sale is happening now. Save up to 40% on an eye-catching selection of furniture and decor {{URL}} {{URL}},A leading online marketplace for extraordinary design. Follow {{MENTION}} for more.,following_37,t_1313820143164837891,445,0,0,original
RT {{MENTION}}: CFP: The Rood in Medieval Britain and Ireland c.900-c.1500 {{URL}},the only online magazine devoted to medieval stained glass. find us at {{URL}} and 'like' our facebook at {{URL}},follower_67,t_718461566799212544,411,0,0,original
"I am selling my beautiful piano if anyone is interested. Its loved but gets little playing attention - sob.  Mahogany, iron frame and ivory keys. Stamped for 1921. In fine condition. Regularly tuned. Purchased 8... {{URL}}",Advisors to collectors of precious and fine art.,seed_r1,t_1122189449708937216,8,0,0,original
RT {{MENTION}}: Rt {{MENTION}} Stop poaching the elephants in Africa for the sale of Ivory! {{URL}} RT{{MENTION}} http…,Vintage Replacement china and Glass and Collectibles we follow back !! like our facebook page {{URL}},follower_62,t_549362976634183680,81,0,0,original
the occurrence of these frontal assaults on justice in our history makes the America of the 2020’s more like the totalitarian states of China and Russia than anyone influential would ever publicly admit. READ BOOK... {{URL}} #history #psychology #MAGAts CW 1/122,"#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1544534919732334592,169,0,0,original
"Lested Hall is a striking Grade II listed residence of medieval origins with 18th and 19th century additions. Each elevation is entirely individual & the facade is probably Queen Anne/early Georgian, in addition there is a stunning annexe. {{MENTION}} {{URL}} {{URL}}",Property Experts since 1910 based in #Cranbrook,follower_115,t_999541782147977217,455,0,0,original
what is the collective noun for santas? a merriment? a ho ho ho? whatever it is we have one!,lewes chocolate company a good place for chocolate!,follower_32,t_266318905440600064,226,0,0,original
Original 1956 GPO 332L &amp;#039;Exchange&amp;#039; Vintage Ivory Bakelite Telephone. Converted  {{URL}} via {{MENTION}} #ebay #bakelite #ivorytelephone #GPO,Buyer and seller of vintage collectables,seed_r1,t_975753378046337027,38,0,0,original
"RT {{MENTION}}: Chez moi on dit pas ""Carte d’identité"" ou ""CNI"", on dit ""CARDANTITÉ "" and i think that’s beautiful.",Les mauvaises compagnies détruisent des rêves et aussi des vies 🇮🇪,follower_107,t_1583253531246854144,374,0,0,original
Original 1957 GPO 332L Vintage Ivory Bakelite Telephone. Converted &amp;amp; Working {{URL}} via {{MENTION}} #vintage #bakelite #ivorytelephone,Buyer and seller of vintage collectables,seed_r1,t_960832127200911360,38,1,0,original
Amazing work ! {{URL}},"Parrishes Studio, offering sales and conservation services to both public and trade.",follower_35,t_657517922718515200,986,0,0,original
RT {{MENTION}}_SmokingGun: Out of 9 kids Future has 4 one year olds.... that man really sick 🥴😭😭😭,"Let’s Be Clear. Bitch, I’m From Cleveland Your Favorite DJs Favorite DJ ✨. IG: PRETTY.FRIED | Penny Proud ✨|",following_22,t_1265370642653814786,228,0,0,original
Behind the scenes of you temporary studio in the gallery on friday. Hope everyone is having a great weekend! #Mayfair {{URL}},"Prestigious London gallery in the heart of Mayfair, dealing in a diverse range of 19th century antiques and artworks.",follower_35,t_533597805600702464,227,0,0,original
"Dolce&Gabbana brings the magic and joy of the holiday season to the theatre with #DGHolidays. Ideas, inspiration and a world of delights for you and your loved ones. Discover the #DGShoes gift ideas and let the magical festivities begin at {{URL}} {{URL}}",,following_0,t_1464292879472332805,304,0,0,original
RT {{MENTION}}: #RicesFire #NevadaCounty #CA #EvacORDERS {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}}…,"#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1542195093687324672,169,0,0,original
"Since July I’ve been journalling through the Psalms in the Bible. Psalm 46 was especially meaningful, so I wrote it out and read it every day. #SoulSunday {{URL}}","#SoulsHarbour co-founder & CEO. Serving 100,000+ meals yearly in Halifax, Bridgewater & Truro. #MissionMart 🛒 thrift store now open - 265 Susie Lake Crescent",follower_19,t_1449800907181502472,158,0,0,original
"Mammoth Ivory Netsuke – On The Bridge This is Mammoth Ivory Netsuke of Bridge Scene Breathtakingly beautiful with bold, defined strokes, capturing the expression of the Japanese people that are on the bridge. {{URL}} #ivory #sculpture #mammothivory #netsuke #art {{URL}}",I love Art especially Carved legal ivory,seed_0,t_1194552845951000577,11,1,0,original
Check out Thomas Bavaria Thomas Ivory Blue and White #Porcelain Lidded Ginger Jar Urn #Thomas {{URL}} via {{MENTION}},Our mission is to provide the highest level of service and value to our customers every day.,follower_99,t_1388708554320789505,76,0,0,original
RT {{MENTION}}: #Wedding #jacket #shrug #red #black #ivory #bolero #Knit #handmade #mohair #dress #CoverUp #oversize #cardigan https://…,"Fiendish Vintage Jewelry hunter, lover of animals, love to share Human interest, Humor, handmade jewelry tinkerer, Twiitter Rocks! Check out my Ebay site!",follower_107,t_1321920865819226112,91,0,0,original
Check out J MCLAUGHLIN IVORY/BLACK SCROLLING GEOMETRIC PRINT FAUX WRAP SURPLICE DRESS M {{URL}} via {{MENTION}},"1930s-80s vintage attire, upscale consignment, random kitsch/camp flourishes, mystery novel in progress, food/drink geek, Chicago-based, globally oriented.",follower_40,t_1282852790461767681,68,0,0,original
WIDOWSPEAKANNOUNCE SIXTH STUDIO ALBUM “THE JACKET” OUT 11TH MARCH VIA CAPTURED TRACKS {{URL}},Western Globe News! is a newly formed independent International online news source,follower_0,t_1478637900405395459,806,0,0,original
"⚱️⚱️Shibayama Inlay (Shibayama Zōgan) is a lacquer art form distinguished by high relief carved inlays made from shell, coral, tortoiseshell, and ivory. Many gorgeous Shibayama crafts were exported during the... {{URL}}","London's pre-eminent dealers of the finest antique silver, gold boxes and objects of vertu",seed_r1,t_1040276939657883651,30,0,0,original
You can obtain this glorious carving of Laughing Buddha twiddling with 2 kids rigorously carven with original mammoth ivory. New Year Sale Upto 20% Off Buy Now @ {{URL}} #MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}},I love Art especially Carved legal ivory,seed_0,t_1077966276696436736,11,1,0,original
RT {{MENTION}}_painting: Painting “The Three Sisters of Glencoe” 🎨 with some details of the foreground #mountains #threesisters #Glencoe #Scotland…,Surely not EVERYBODY was Kung Fu fighting?? 🤔,follower_22,t_1518009314061041665,749,0,0,original
"RT {{MENTION}}: A judge had no authority to issue indictments in the Flint water scandal, the Michigan Supreme Court said Tuesday, wiping out charg…","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1541872145927524352,169,0,0,original
"Mammoth Ivory Tusks are absolutely legal worldwide. You can read more about Mammoth Ivory in our education Center.

Click here to read more: {{URL}}",I love Art especially Carved legal ivory,seed_r1,t_1079415642980315139,11,0,0,original
"Just under two weeks to go until the famous {{MENTION}} show. {{MENTION}} will be there, will you? | {{URL}}","The world’s longest established provider of gem and jewellery education, since 1908.",follower_39,t_445853428141793280,1054,0,0,original
"RT {{MENTION}}: Peaceful deer, symbol of freedom. A necklace of glittery ivory enamel and silver. {{URL}} #birthday…","Fiendish Vintage Jewelry hunter, lover of animals, love to share Human interest, Humor, handmade jewelry tinkerer, Twiitter Rocks! Check out my Ebay site!",follower_107,t_1353171557053472769,91,0,0,original
{{MENTION}} it's pretty cool. cannot wait to start it and show you.,Electronic Gravity Rock - This is the undying symphony from inside the unnerving infinity. Album available on iTunes.,following_15,t_347224726327943168,589,0,0,original
"RT {{MENTION}}: “At best, [if one does not actualize one’s potentials,] one is in an oar-less rowboat, directionless & drifting, in the mi…","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1540604601673682945,169,0,0,original
For sure ring king and track and field. Probably others too. {{URL}},"I write, occasionally letter comics, and create silliness whenever I can.",follower_24,t_926911880408518656,831,0,0,original
French onyx and bronze gilt mantel clock set with candelabras {{URL}} {{URL}},Arrowsmith Antiques and Restoration was established by Paul Arrowsmith 30 years ago. We restore and sell high quality antique furniture and clocks.,follower_8,t_736103939733655552,919,0,0,original
"Важно не то, кто вы и откуда, важно куда вы идёте",,follower_66,t_908064086155513857,1068,0,0,original
RT {{MENTION}}: I taught Skrtel that every day at Melwood!!,,follower_69,t_668144625870381056,235,0,0,original
"RT {{MENTION}}: Join our Twitterbomb to thank {{MENTION}} for supporting #MarriageEquality, and ask him to now #supportENDA. {{URL}}",We tweet for marriage equality and equal rights for same-sex partners and their families. LGBT Wedding Directory and Free Wedding Planning Forum. #EnGAYged,follower_67,t_389832555618652161,648,0,0,original
{{MENTION}} Close! Redruth. We were {{MENTION}} meeting {{MENTION}}_Cornwall - amazing view!,"We sell vintage & new industrial and maritime lighting, and maritime collectibles. Shop online or come see us at 14 Lostwithiel Street, Fowey, Cornwall.",follower_66,t_783666349658767360,391,0,0,original
Next upholstery project :) {{URL}},Award winning online vintage homestore.,following_32,t_441651720285089792,167,0,0,original
RT {{MENTION}}: We’re funding some great community group projects to improve access to physical activities across West Berkshire.🙌🏰 The…,"News, offers & events in historic and attractive Hungerford. The town boasts many independent shops and commercial businesses and has an active community.",following_27,t_1422451623738159106,387,0,0,original
"RT {{MENTION}}: Necklace with Tiger Eye Stones Yellow Jade and by Smokeylady54 {{URL}} via {{MENTION}}, #handmade, #Necklace…",Follow my shop at Etsy for top quality knitted scarves and accessories.,follower_55,t_746721961997279232,253,0,0,original
EVENT: Romsey Methodist Church Christmas Tree Festival | MLG Gazettes {{URL}} via {{MENTION}} #Romsey #NewForest #TestValley #Hampshire #Christmas #Charity #mlggazettes,"Official MLG Gazettes #localfreegazettes covering #Andover North #Hampshire #TestValley, #Winchester #NewForest & #Romsey approx 165K readers! #mlggazettes",follower_17,t_1194631002129346560,622,0,0,original
6.5% {{MENTION}} #Deftones Ceremony Hazy IPA ale is out via US Belching Beaver. (Photo: Mark Mawston) {{URL}},Record Collector is the UK's longest-established monthly music magazine for those who want to dig deeper. IG: recordcollectormag,follower_5,t_1430440382458994692,652,0,0,original
"📢 New Modern Art Notes Podcast! “Cézanne Drawing"" {{MENTION}}, Paolo Veneziano {{MENTION}}, and 🔊 from Marcus Fischer taped live {{MENTION}}! ℹ: {{URL}} 🍎: {{URL}} ✳: {{URL}} {{URL}}","🏆 author. New: ""Emerson's Nature and the Artists."" Earlier: ""Carleton Watkins: Making the West American."" Now: Modern Art Notes Podcast. He/him. 🎾🍺⛰️ 🌲🥾",following_3,t_1422180934569299970,770,0,0,original
"Recently discovered and in excellent condition, this important #MartinJohnsonHeade hummingbird painting 'Sun Gems,' circa 1863/64 earned the cover photo of our November 2018 auction catalog. {{URL}} {{URL}}",One of the nation's premier service providers for the #auction and #appraisal of #antiques and fine #art. 319.277.2256,following_29,t_1060175552508760066,268,0,0,original
RT {{MENTION}}_southeast: New to us and and planning to apply for the #CultureRecoveryFund? You MUST create an applicant profile on our app portal…,Museum Development Bod | MA Museology | ex UoB p/t Lecturer | works in museums/libraries/archives | Ma’am,follower_113,t_1350067138187431936,891,0,0,original
Lidl’s Christmas campaign promises to cut through ‘opulence’ of other ads {{URL}} {{URL}},"Marketing, advertising, digital, promotions, media, PR, sponsorship, branding & communications. For more #marketing news, we recommend following {{MENTION}} as well.",follower_1,t_1192438942475280385,548,0,0,original
"RT {{MENTION}}: 🚨Culture Cards x {{MENTION}} Giveaway!!🚨

💰4 Culture Cards #NFTs + 250K $DMR to winners!💎

🥇1 Winner GOLD Big Pun NFT + 1…","Work at Amazon. Spend most of me free time with my wife and new born daughter. While not with them, working at my family's winery.",seed_r1,t_1488721480967876613,1134,0,0,original
I don't care much about music. What I like is sounds. -Dizzy Gillespie,No artificial sound added. 100% USDA Organic Sound. Rated the #1 headphones 🎶😎👇🏼👇🏼 Email help{{MENTION}}.org,follower_30,t_656655469289672705,474,0,0,original
Describing a C14th #Mameluke ivory and wood panel to my guest at {{MENTION}} #Islamicart week private view launch night #history #islamic #art {{URL}},"History, Islamic Art & Diamonds Consultant.
Aquisitions specialist.
Manager of the Datu-Sami Fortune collection.
PhD student in counter-looting, fakes/forgeries",seed_r1,t_921515345965436929,1121,1,0,original
"{{MENTION}} Hi Chris, we're overjoyed to hear that! Thanks for letting us know 💜 happy holidays!","Truly Canadian 🍁 and truly delicious since 1907. Chocolate made with sustainable cocoa. Shop in BC, AB, SK, MB, ON & online!",follower_19,t_1205180130705854465,416,0,0,original
{{MENTION}} {{MENTION}} @_Alfista {{MENTION}} Did you get the original one with the USB stick? - that was brill !,Supplier and restorer of Original Antique Painted Pine - that's the day job - long time Alfisti but now being seduced by an old and dodgy Porsche....,follower_26,t_731233017881100289,112,0,0,original
#shagreen #ivory #artdeco #1920S #collectables #modernist #deco #interiors #interiordecoration #homedecor #vintage #jewellery #design #homedecor #home #beautiful #original {{URL}},"Aesthetically Pleasing, Characteristically individual & Eclectic Objects of Virtue.
 Antique | Vintage | Art Decorations",seed_r1,t_951392766478766080,1111,1,0,original
Original retro rotary dial corded telephones for sale! Full working order! Available in ivory and two tone brown. {{URL}},"Creating rustic, country and traditional living spaces. DIY and upcycling also tweeting via {{MENTION}} and {{MENTION}}",follower_23,t_551793141482012672,96,0,0,original
"Good luck to FACT (Friends of Antique Cultural Treasures), who are challenging the Ivory Act in the Court of Appeals today on behalf of ivory dealers and collectors #ivoryban #ivoryact","The UK's largest association of professional art & antiques dealers | The LAPADA Art & Antiques Fair, Berkeley Square | Buy with confidence from LAPADA members.",seed_r1,t_1231924015700303872,27,0,0,original
"Very interesting read about {{MENTION}} In the article, he mentions Verbal Judo as a way to de-escalate. {{URL}}",Spent most of my life running very profitable companies. Tweeting information for Business Owners and Stock Investors. Trades posted are not recommendations.,follower_24,t_779098115919839233,662,0,0,original
Personalised Pink Union Jack Mug {{URL}} {{URL}},We are independent business people running a Clothes Label and gift business online,following_18,t_1130853791731920900,297,0,0,original
Well done the “King ladies” - well deserved. {{URL}},OPEN and waiting to welcome you. 01798 343621 and 07980 927331 Antique Shop I Petworth GU28 0AB Decorative Antiques & Interiors. Mon-Sat 07980 927331,following_13,t_986626759335534593,354,0,0,original
"RT {{MENTION}}: Life is not easy for most people. Sometimes you can take shortcuts, but only effort and humility will bring you up to the…","REWINDING OF ALL KINDS OF ALTERNATING CURRENT, DIRECT CURRENT, SYNCHRONISE MOTORS OF HEAVY POWERS",follower_27,t_1230165514711961600,217,0,0,original
RT {{MENTION}}: Behind the scenes 'Unexpected Tales' Tonight at {{MENTION}} ! #livetheatre {{URL}},BBC TV Presenter - Antiques Broker - Speaker - Artist - Auctioneer. New Antiques Channel on YouTube: {{URL}},following_39,t_1175465297719025675,234,0,0,original
Get all the latest local events #sailing #yachting please retweet {{URL}} {{URL}},"Your home for learning how to sail, sailing news, and promoting sailing events.",follower_65,t_977700502405132288,536,0,0,original
Nine oval miniature on ivory portrait paintings of prominent colonial-era Americans ... - {{URL}} {{URL}},"Your source for FREE news about antiques, collectibles and auctions.",seed_r1,t_588088891040800770,1090,1,0,original
"RT {{MENTION}}: “Or, as Jung phrased it, one at first sees a god as a demon until one is ‘wholly’ enough to recognize him.” THREAD https:…","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1541126737471213569,169,0,0,original
Samurai With Sword Up- Mammoth Ivory Masterpiece Product: {{URL}} {{URL}},I love Art especially Carved legal ivory,seed_0,t_1155158483450208256,11,1,0,original
"NEW PRICE in #MahoneBay! 23 Pleasant Street | MLS®#201716420 | $398,000 A spacious home with three generous-sized bedrooms, 2 1/2 baths & a big finished third floor! {{URL}} Contact RDR's Roger Dial: 902.277.0593, roger{{MENTION}}.ca #NovaScotia #icouldlivehere {{URL}}",Real Estate Professionals.,follower_13,t_1002155146883854336,350,0,0,original
RT {{MENTION}}_town: Check out Lands End Black Tan Ivory Sweater XL 18 size Womens Soft Casual Comfortable Top {{URL}} {{MENTION}},"Artist, author, designer and builder. Lover of all things unanswerable. Follow and re-tweet. We do.",follower_51,t_1068870696774893570,59,0,0,original
RT {{MENTION}}: A fine 19th Century #Indian carved #ivory open work cracker / #box {{MENTION}} #islamicandorientalauction. EST: £800-…,antiques and art valuer and dealer with established Nationwide business. Television expert on Dickinsons Real Deal and Secret Dealers for ITV,following_33,t_1182303263548461062,1104,1,0,original
"Mammoth Ivory Figurine -The New archery samurai kneeling

Genuine MAMMOTH IVORY FIGURINE portraying a Samurai kneeling down, about to shoot an arrow.

#artcollector #ivory #sculptures

{{URL}} {{URL}}",I love Art especially Carved legal ivory,seed_r1,t_1213137430209089536,11,1,0,original
"""Aligning yourself w a higher cause is the only way to finally deal w any psychological & spiritual dilemma. As long as you stay within yourself, licking your own wounds, you are doomed..."" Free, now. Click link. See Price $0.00, click “Buy now w..” {{URL}} #FBR","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at {{URL}}",follower_32,t_1541067004924243969,169,0,0,original
{{MENTION}}_ Awesome,my other name to know me by is darkvamp79 incase u know me by that name instead.,follower_115,t_1134061784581771264,748,0,0,original
{{MENTION}} {{MENTION}} {{MENTION}} {{MENTION}} Carved ivory? Not a specialist..clearly!,"Creating rustic, country and traditional living spaces. DIY and upcycling also tweeting via {{MENTION}} and {{MENTION}}",follower_23,t_154640206274891776,96,0,0,original
Antiques Atlas - A Large Royal Worcester Blush Ivory Pot Pourri {{URL}} via {{MENTION}}_atlas,THE HOME OF FINE ANTIQUES. Established in 1985 David Wolfenden Antiques Ireland (02894429498) {{URL}},follower_37,t_1455517513584939012,25,0,0,original
RT {{MENTION}}: Check out Chicos Womens Ivory Faux Leather Jacket Sweater Trim Size 2 (large 12) NWT {{URL}} {{MENTION}},"Fiendish Vintage Jewelry hunter, lover of animals, love to share Human interest, Humor, handmade jewelry tinkerer, Twiitter Rocks! Check out my Ebay site!",follower_107,t_1332911322229444609,91,0,0,original
"USA loaded with ""ivory traffickers"" is oft-quoted.  2014 regulations made 99.9% of older previously legal ivory in U.S. suddenly illegal!","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture.",seed_r1,t_714969506536419328,2,0,0,original
{{MENTION}} The journal is a great idea,"#SoulsHarbour co-founder & CEO. Serving 100,000+ meals yearly in Halifax, Bridgewater & Truro. #MissionMart 🛒 thrift store now open - 265 Susie Lake Crescent",follower_19,t_1330440726950318080,158,0,0,original
